;LPIPS_citi;LPIPS_citiOscuro;LPIPS_patin;LPIPS_patin360;PSNR_citi;PSNR_citiOscuro;PSNR_patin;PSNR_patin360;SSIM_citi;SSIM_citiOscuro;SSIM_patin;SSIM_patin360;tLP100_citi;tLP100_citiOscuro;tLP100_patin;tLP100_patin360;tOF_citi;tOF_citiOscuro;tOF_patin;tOF_patin360
Sample_control__1;0.2081737;0.20592904;0.026539747;0.049524;26.786398;26.874834;36.148983;31.910658;0.7660741;0.76809937;0.97938627;0.95057046;0.96021473;1.0104059;0.14976263;0.3857912;0.26040864;0.25528118;0.2751459;0.43284476
Sample_control__2;0.20817341;0.20592901;0.02653979;0.049523886;26.786394;26.874834;36.148983;31.910656;0.7660742;0.7680994;0.97938627;0.95057046;0.9602163;1.010396;0.14975919;0.3857731;0.26040882;0.25528052;0.2751487;0.43284437
Sample_control__3;0.20817354;0.20592894;0.026539754;0.04952395;26.786396;26.874834;36.148983;31.910658;0.7660742;0.7680994;0.97938627;0.95057046;0.96022993;1.0104104;0.14975555;0.38577506;0.26040858;0.25528073;0.27514845;0.43284437
Sample_control__4;0.20817368;0.205929;0.026539767;0.04952395;26.786394;26.874834;36.148983;31.910658;0.7660741;0.7680994;0.97938627;0.95057046;0.9602439;1.010398;0.14976066;0.38577506;0.26040795;0.25528073;0.2751487;0.43284437
Sample_control__5;0.2081736;0.20592903;0.026539776;0.049523935;26.786396;26.874834;36.148983;31.910658;0.7660742;0.7680994;0.97938627;0.95057046;0.96022975;1.0104126;0.14975196;0.38577422;0.26040843;0.25528076;0.27514863;0.43284437
Sample_control__6;0.20817372;0.20592906;0.026539769;0.049523983;26.786398;26.874834;36.14898;31.910658;0.7660742;0.7680994;0.97938627;0.95057046;0.9602176;1.0103978;0.14975215;0.38577226;0.26040885;0.25528058;0.27514845;0.43284452
Sample_control__7;0.20817381;0.20592907;0.026539749;0.049523998;26.786394;26.874834;36.14898;31.910658;0.7660742;0.7680995;0.97938627;0.95057046;0.9602237;1.0104141;0.14974755;0.38578185;0.26040885;0.2552807;0.27514845;0.43284452
Sample_control__8;0.20817374;0.2059291;0.026539763;0.049523998;26.786394;26.874834;36.14898;31.910658;0.7660742;0.7680994;0.97938627;0.95057046;0.9602148;1.0104114;0.14975476;0.38578185;0.26040882;0.25528055;0.2751487;0.43284452
Sample_control__9;0.2081737;0.2059291;0.026539728;0.049523998;26.786394;26.874834;36.14898;31.910658;0.7660742;0.7680994;0.97938627;0.95057046;0.960209;1.0104162;0.14975183;0.38578185;0.26040852;0.25528046;0.27514848;0.43284452
Sample_control__10;0.20817378;0.20592915;0.026539735;0.049523998;26.786396;26.874834;36.14898;31.910658;0.7660742;0.7680994;0.97938627;0.95057046;0.9602038;1.0104151;0.14975247;0.38578185;0.26040834;0.2552805;0.27514848;0.43284452
