;LPIPS_citi;LPIPS_citiOscuro;LPIPS_patin;LPIPS_patin360;PSNR_citi;PSNR_citiOscuro;PSNR_patin;PSNR_patin360;SSIM_citi;SSIM_citiOscuro;SSIM_patin;SSIM_patin360;tLP100_citi;tLP100_citiOscuro;tLP100_patin;tLP100_patin360;tOF_citi;tOF_citiOscuro;tOF_patin;tOF_patin360
Sample_control__1_Norma;0,7249999999767169;0,47619047621265054;0,3064516129088588;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,2725685785517271;0,49009900990495225;1,0;1,0;0,7666666666627862;1,0;0,0;1,0
Sample_control__2_Norma;0,0;0,33333333337213844;1,0;0,0;0,0;0,0;1,0;0,0;1,0;0,23076923098415136;0,0;0,0;0,3117206982533389;0,0;0,7718832891241618;0,044350580781610915;0,96666666661622;0,08333333337213844;1,0;0,0
Sample_control__3_Norma;0,32499999995343387;0,0;0,4193548387265764;0,5614035087637603;0,5;0,0;1,0;1,0;1,0;0,23076923098415136;0,0;0,0;0,651620947628544;0,7128712871272;0,5305039787781425;0,14783526927203638;0,7000000000116415;0,375;0,910714285710128;0,0
Sample_control__4_Norma;0,6749999999883585;0,2857142856810242;0,6290322580607608;0,5614035087637603;0,0;0,0;1,0;1,0;0,0;0,23076923098415136;0,0;0,0;1,0;0,09900990098685725;0,8693633952243545;0,14783526927203638;0,0;0,375;1,0;0,0
Sample_control__5_Norma;0,47499999997671694;0,4285714286379516;0,7741935484227724;0,42982456140452996;0,5;0,0;1,0;1,0;1,0;0,23076923098415136;0,0;0,0;0,6471321695753431;0,821782178216381;0,2924403183023969;0,10348468849042547;0,53333333338378;0,4166666666860692;0,9749999999912689;0,0
Sample_control__6_Norma;0,7750000000232831;0,5714285714784637;0,6612903226050548;0,8508771929773502;1,0;0,0;0,0;1,0;1,0;0,23076923098415136;0,0;0,0;0,34413965087151155;0,0891089108918095;0,3050397877977957;0,0;1,0;0,16666666662786156;0,910714285710128;0,38461538474075496
Sample_control__7_Norma;1,0;0,6190476190531626;0,33870967745315284;0,9824561403365806;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,496259351617482;0,8960396039547049;0,0;0,5063357972539961;1,0;0,33333333337213844;0,910714285710128;0,38461538474075496
Sample_control__8_Norma;0,8250000000116415;0,7619047618936747;0,5645161290885881;0,9824561403365806;0,0;0,0;0,0;1,0;1,0;0,23076923098415136;0,0;0,0;0,274314214460901;0,7623762376169907;0,4781167108740192;0,5063357972539961;0,96666666661622;0,125;1,0;0,38461538474075496
Sample_control__9_Norma;0,7249999999767169;0,7619047618936747;0,0;0,9824561403365806;0,0;0,0;0,0;1,0;1,0;0,23076923098415136;0,0;0,0;0,1296758104726905;1,0;0,28381962864659727;0,5063357972539961;0,6333333333022892;0,0;0,9214285714115249;0,38461538474075496
Sample_control__10_Norma;0,9249999999883585;1,0;0,11290322581771761;0,9824561403365806;0,5;0,0;0,0;1,0;1,0;0,23076923098415136;0,0;0,0;0,0;0,9455445544444956;0,3262599469489942;0,5063357972539961;0,4333333333488554;0,055555555620230734;0,9214285714115249;0,38461538474075496
Sample_RSS_2_1_10__1_Norma;1,0;1,0;1,0;0,9711987092836125;0,0;0,0;0,05885934645903035;0,33712638446354504;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;0,12942578772799607;0,0
