;Name;PSNR_00;SSIM_00;LPIPS_00;tOF_00;tLP100_00
31;City_Test_control_10__1;26.786398;0.7660741;0.2081737;0.26040864;0.96021473
31;City_Test_control_10__2;26.786394;0.7660742;0.20817341;0.26040882;0.9602163
31;City_Test_control_10__3;26.786396;0.7660742;0.20817354;0.26040858;0.96022993
31;City_Test_control_10__4;26.786394;0.7660741;0.20817368;0.26040795;0.9602439
31;City_Test_control_10__5;26.786396;0.7660742;0.2081736;0.26040843;0.96022975
31;City_Test_control_10__6;26.786398;0.7660742;0.20817372;0.26040885;0.9602176
31;City_Test_control_10__7;26.786394;0.7660742;0.20817381;0.26040885;0.9602237
31;City_Test_control_10__8;26.786394;0.7660742;0.20817374;0.26040882;0.9602148
31;City_Test_control_10__9;26.786394;0.7660742;0.2081737;0.26040852;0.960209
31;City_Test_control_10__10;26.786396;0.7660742;0.20817378;0.26040834;0.9602038
31;City_Test_control_3__1;26.786396;0.76607406;0.20817369;0.2604083;0.96022433
31;City_Test_control_3__2;26.786396;0.7660741;0.20817365;0.26040912;0.9602075
31;City_Test_control_3__3;26.786396;0.7660742;0.20817366;0.26040894;0.96023625
31;City_Test_RSS_2_1_10__1;26.798933;0.76684517;0.20738083;0.26216593;0.9380024
31;City_Test_RSS_2_1_10__2;26.812233;0.7672796;0.2069905;0.26041612;0.89544475
31;City_Test_RSS_2_1_10__3;26.815674;0.7675345;0.20692115;0.2609397;0.88487864
31;City_Test_RSS_2_1_10__4;26.818151;0.76764935;0.20687006;0.2605631;0.8752308
31;City_Test_RSS_2_1_10__5;26.818075;0.7676783;0.20686202;0.2608421;0.8789982
31;City_Test_RSS_2_1_10__6;26.818586;0.76768357;0.20686105;0.2603884;0.8745036
31;City_Test_RSS_2_1_10__7;26.819262;0.7677106;0.20684646;0.26084456;0.871925
31;City_Test_RSS_2_1_10__8;26.819864;0.76766914;0.20683812;0.26062146;0.8692849
31;City_Test_RSS_2_1_10__9;26.819952;0.7676697;0.20683765;0.2610473;0.87011635
31;City_Test_RSS_2_1_10__10;26.82036;0.767654;0.2068295;0.260253;0.8677063
31;City_Test_RSS_RS_2_1_10__1;26.798933;0.7668451;0.20738095;0.26216653;0.9379746
31;City_Test_RSS_RS_2_1_10__2;27.20358;0.7803157;0.1898477;0.2641527;0.2052019
31;City_Test_RSS_RS_2_1_10__3;27.326511;0.7843039;0.1856455;0.25864822;0.19014625
31;City_Test_RSS_RS_2_1_10__4;27.40708;0.78742987;0.18398683;0.25829402;0.30436003
31;City_Test_RSS_RS_2_1_10__5;27.381552;0.7864054;0.18437603;0.25672936;0.25992653
31;City_Test_RSS_RS_2_1_10__6;27.38232;0.7865736;0.18477143;0.25938046;0.26362228
31;City_Test_RSS_RS_2_1_10__7;27.39084;0.78664595;0.18420595;0.25803605;0.27191693
31;City_Test_RSS_RS_2_1_10__8;27.408419;0.7875258;0.18402937;0.25834185;0.30857277
31;City_Test_RSS_RS_2_1_10__9;27.400187;0.7871704;0.1840554;0.25752473;0.2908991
31;City_Test_RSS_RS_2_1_10__10;27.39751;0.78716546;0.18439642;0.25893795;0.28637245
31;City_Test_RSS_RS_2_1_3__1;26.792889;0.76624835;0.2078831;0.2617469;0.9438614
31;City_Test_RSS_RS_2_1_3__2;27.200014;0.78002954;0.19002265;0.2638263;0.21108909
31;City_Test_RSS_RS_2_1_3__3;27.323704;0.7841013;0.18571673;0.2583242;0.18736304
31;City_Test_RSS_RS_RT_2_1_3__1;25.050804;0.61730736;0.33686396;0.8829247;7.490175
31;City_Test_RSS_RS_RT_2_1_3__2;25.337734;0.61552393;0.32228285;0.879633;4.058235
31;City_Test_RSS_RS_RT_2_1_3__3;25.413092;0.61643577;0.3186354;0.8776829;3.6051924
31;City_Test_RSS_RT_2_1_3__1;25.050804;0.6173073;0.336864;0.882924;7.4901977
31;City_Test_RSS_RT_2_1_3__2;25.087587;0.61843705;0.33545095;0.8828761;7.045175
31;City_Test_RSS_RT_2_1_3__3;25.100462;0.618966;0.3351539;0.88392776;6.9178495
31;City_Test_RSS_2_1_3__1;26.792889;0.76624835;0.20788318;0.2617454;0.94385564
31;City_Test_RSS_2_1_3__2;26.807049;0.7667426;0.20744638;0.25990131;0.90012896
31;City_Test_RSS_2_1_3__3;26.812473;0.76709265;0.20730326;0.26024023;0.89102495
31;City_Test_RSS_BB_2_1_3__1;26.772984;0.765895;0.20820178;0.26881602;0.95783806
31;City_Test_RSS_BB_2_1_3__2;26.785427;0.7661779;0.20796902;0.2669004;0.90878433
31;City_Test_RSS_BB_2_1_3__3;26.798697;0.76680666;0.20787065;0.26520583;0.89320374
31;City_Test_Salt_Noise_03_3__1;26.566366;0.7557081;0.24410369;0.28644815;7.4979014
31;City_Test_Salt_Noise_03_3__2;26.716915;0.760129;0.23377557;0.28490525;5.9265656
31;City_Test_Salt_Noise_03_3__3;26.781551;0.7624331;0.22698006;0.28210267;4.502662
31;City_Test_Gaussian_Noise_03_3__1;24.362284;0.5517968;0.49942267;0.53510207;36.365665
31;City_Test_Gaussian_Noise_03_3__2;25.710005;0.6369763;0.36115387;0.4164311;17.50969
31;City_Test_Gaussian_Noise_03_3__3;25.885256;0.64236176;0.34570315;0.40257126;11.032656
31;City_Test_sp_Noise_03_3__1;26.504261;0.75572723;0.25055197;0.28534323;8.970371
31;City_Test_sp_Noise_03_3__2;26.707838;0.75999516;0.2348399;0.28137505;6.29285
31;City_Test_sp_Noise_03_3__3;26.789173;0.7636536;0.2244059;0.27380186;4.247819
31;City_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__1;22.658195;0.19311935;0.92763776;1.4971462;5.285824
